zaman,hiz,hiz_setpoint,heading,yon_setpoint,thrust_sol,thrust_sag
2026-07-17T10:00:00+00:00,,,,,,
2026-07-17T10:00:00.100000+00:00,,,,,,
2026-07-17T10:00:00.200000+00:00,,,,,,
2026-07-17T10:00:00.300000+00:00,,,,,,
2026-07-17T10:00:00.400000+00:00,,,,,,
2026-07-17T10:00:00.500000+00:00,,,,,,
2026-07-17T10:00:00.600000+00:00,,,,,,
2026-07-17T10:00:00.700000+00:00,,,,,,
2026-07-17T10:00:00.800000+00:00,,,,,,
2026-07-17T10:00:00.900000+00:00,,,,,,
2026-07-17T10:00:01+00:00,,,,,,
2026-07-17T10:00:01.100000+00:00,,,,,,
2026-07-17T10:00:01.200000+00:00,,,,,,
2026-07-17T10:00:01.300000+00:00,,,,,,
2026-07-17T10:00:01.400000+00:00,,,,,,
2026-07-17T10:00:01.500000+00:00,,,,,,
2026-07-17T10:00:01.600000+00:00,,,,,,
2026-07-17T10:00:01.700000+00:00,,,,,,
2026-07-17T10:00:01.800000+00:00,,,,,,
2026-07-17T10:00:01.900000+00:00,,,,,,
2026-07-17T10:00:02+00:00,,,,,,
2026-07-17T10:00:02.100000+00:00,,,,,,
2026-07-17T10:00:02.200000+00:00,,,,,,
2026-07-17T10:00:02.300000+00:00,,,,,,
2026-07-17T10:00:02.400000+00:00,,,,,,
2026-07-17T10:00:02.500000+00:00,,,,,,
2026-07-17T10:00:02.600000+00:00,,,,,,
2026-07-17T10:00:02.700000+00:00,,,,,,
2026-07-17T10:00:02.800000+00:00,,,,,,
2026-07-17T10:00:02.900000+00:00,,,,,,
2026-07-17T10:00:03+00:00,,,,,,
2026-07-17T10:00:03.100000+00:00,,,,,,
2026-07-17T10:00:03.200000+00:00,,,,,,
2026-07-17T10:00:03.300000+00:00,,,,,,
2026-07-17T10:00:03.400000+00:00,,,,,,
2026-07-17T10:00:03.500000+00:00,,,,,,
2026-07-17T10:00:03.600000+00:00,,,,,,
2026-07-17T10:00:03.700000+00:00,,,,,,
2026-07-17T10:00:03.800000+00:00,,,,,,
2026-07-17T10:00:03.900000+00:00,,,,,,
2026-07-17T10:00:04+00:00,,,,,,
2026-07-17T10:00:04.100000+00:00,,,,,,
2026-07-17T10:00:04.200000+00:00,,,,,,
2026-07-17T10:00:04.300000+00:00,,,,,,
2026-07-17T10:00:04.400000+00:00,,,,,,
2026-07-17T10:00:04.500000+00:00,,,,,,
2026-07-17T10:00:04.600000+00:00,,,,,,
2026-07-17T10:00:04.700000+00:00,,,,,,
2026-07-17T10:00:04.800000+00:00,,,,,,
2026-07-17T10:00:04.900000+00:00,,,,,,
2026-07-17T10:00:05+00:00,0.000,0.000,0.0356,0.000,4.47,6.25
2026-07-17T10:00:05.100000+00:00,0.000,0.000,-0.0038,0.000,4.79,5.86
2026-07-17T10:00:05.200000+00:00,0.000,0.000,0.0039,0.000,5.79,5.83
2026-07-17T10:00:05.300000+00:00,0.000,0.000,-0.0068,0.000,6.29,5.86
2026-07-17T10:00:05.400000+00:00,0.000,0.000,0.0004,0.000,6.93,6.33
2026-07-17T10:00:05.500000+00:00,0.000,0.000,0.0094,0.000,7.16,5.84
2026-07-17T10:00:05.600000+00:00,0.000,0.000,-0.0155,0.000,5.82,6.53
2026-07-17T10:00:05.700000+00:00,0.000,0.000,0.0117,0.000,4.30,6.61
2026-07-17T10:00:05.800000+00:00,0.000,0.000,0.0048,0.000,6.42,5.73
2026-07-17T10:00:05.900000+00:00,0.000,0.000,-0.0009,0.000,6.84,6.45
2026-07-17T10:00:06+00:00,0.000,0.000,-0.0036,0.000,5.44,6.35
2026-07-17T10:00:06.100000+00:00,0.000,0.000,-0.0137,0.000,6.14,4.50
2026-07-17T10:00:06.200000+00:00,0.000,0.000,-0.0286,0.000,6.04,5.42
2026-07-17T10:00:06.300000+00:00,0.000,0.000,-0.0160,0.000,6.43,6.69
2026-07-17T10:00:06.400000+00:00,0.000,0.000,0.0057,0.000,5.63,6.95
2026-07-17T10:00:06.500000+00:00,0.000,0.000,-0.0183,0.000,6.84,5.99
2026-07-17T10:00:06.600000+00:00,0.000,0.000,0.0294,0.000,6.45,6.45
2026-07-17T10:00:06.700000+00:00,0.000,0.000,-0.0112,0.000,5.52,5.52
2026-07-17T10:00:06.800000+00:00,0.000,0.000,-0.0104,0.000,5.81,6.13
2026-07-17T10:00:06.900000+00:00,0.000,0.000,-0.0302,0.000,6.00,6.73
2026-07-17T10:00:07+00:00,0.000,0.000,-0.0055,0.000,6.18,5.85
2026-07-17T10:00:07.100000+00:00,0.000,0.000,0.0023,0.000,5.93,6.33
2026-07-17T10:00:07.200000+00:00,0.000,0.000,0.0262,0.000,6.90,4.78
2026-07-17T10:00:07.300000+00:00,0.000,0.000,0.0093,0.000,4.63,6.70
2026-07-17T10:00:07.400000+00:00,0.000,0.000,-0.0171,0.000,5.52,6.03
2026-07-17T10:00:07.500000+00:00,0.000,0.000,-0.0034,0.000,6.46,6.09
2026-07-17T10:00:07.600000+00:00,0.000,0.000,0.0239,0.000,5.35,5.88
2026-07-17T10:00:07.700000+00:00,0.000,0.000,0.0115,0.000,5.82,5.73
2026-07-17T10:00:07.800000+00:00,0.000,0.000,-0.0162,0.000,6.29,7.48
2026-07-17T10:00:07.900000+00:00,0.000,0.000,-0.0204,0.000,5.20,6.31
2026-07-17T10:00:08+00:00,0.090,1.000,0.0030,0.000,11.81,11.47
2026-07-17T10:00:08.100000+00:00,0.173,1.000,-0.0205,0.000,10.73,11.88
2026-07-17T10:00:08.200000+00:00,0.279,1.000,-0.0106,0.000,10.70,11.07
2026-07-17T10:00:08.300000+00:00,0.410,1.000,-0.0547,0.000,11.39,9.33
2026-07-17T10:00:08.400000+00:00,0.515,1.000,0.0284,0.000,11.19,8.69
2026-07-17T10:00:08.500000+00:00,0.586,1.000,-0.0037,0.000,10.61,8.70
2026-07-17T10:00:08.600000+00:00,0.697,1.000,0.0570,0.000,9.18,9.24
2026-07-17T10:00:08.700000+00:00,0.799,1.000,-0.0154,0.000,9.26,8.35
2026-07-17T10:00:08.800000+00:00,0.859,1.000,0.0274,0.000,7.79,9.34
2026-07-17T10:00:08.900000+00:00,0.903,1.000,0.0038,0.000,9.62,7.15
2026-07-17T10:00:09+00:00,1.032,1.000,0.0071,0.000,8.10,7.64
2026-07-17T10:00:09.100000+00:00,1.023,1.000,-0.0460,0.000,8.69,7.13
2026-07-17T10:00:09.200000+00:00,0.998,1.000,-0.0216,0.000,8.44,7.58
2026-07-17T10:00:09.300000+00:00,1.001,1.000,-0.0035,0.000,7.77,8.22
2026-07-17T10:00:09.400000+00:00,0.936,1.000,-0.0041,0.000,6.82,9.69
2026-07-17T10:00:09.500000+00:00,0.941,1.000,0.0038,0.000,8.08,8.39
2026-07-17T10:00:09.600000+00:00,0.986,1.000,-0.0463,0.000,7.74,8.38
2026-07-17T10:00:09.700000+00:00,0.963,1.000,0.0161,0.000,9.03,7.27
2026-07-17T10:00:09.800000+00:00,0.998,1.000,-0.0148,0.000,10.10,5.92
2026-07-17T10:00:09.900000+00:00,0.976,1.000,-0.0015,0.000,10.85,5.34
2026-07-17T10:00:10+00:00,1.015,1.000,-0.0011,0.000,10.68,5.20
2026-07-17T10:00:10.100000+00:00,1.005,1.000,0.0163,0.000,6.57,9.39
2026-07-17T10:00:10.200000+00:00,1.001,1.000,-0.0245,0.000,7.12,8.87
2026-07-17T10:00:10.300000+00:00,1.023,1.000,0.0317,0.000,8.77,7.05
2026-07-17T10:00:10.400000+00:00,1.018,1.000,-0.0026,0.000,8.80,7.06
2026-07-17T10:00:10.500000+00:00,0.989,1.000,0.0188,0.000,10.32,5.76
2026-07-17T10:00:10.600000+00:00,0.996,1.000,0.0320,0.000,5.81,10.22
2026-07-17T10:00:10.700000+00:00,0.976,1.000,0.0390,0.000,8.74,7.46
2026-07-17T10:00:10.800000+00:00,0.954,1.000,-0.0148,0.000,10.38,5.99
2026-07-17T10:00:10.900000+00:00,0.998,1.000,0.0260,0.000,8.06,7.96
2026-07-17T10:00:11+00:00,1.006,1.000,-0.0301,0.000,6.36,9.59
2026-07-17T10:00:11.100000+00:00,0.949,1.000,-0.0179,0.000,9.24,7.17
2026-07-17T10:00:11.200000+00:00,1.046,1.000,0.0009,0.000,6.46,9.17
2026-07-17T10:00:11.300000+00:00,1.026,1.000,0.0070,0.000,8.55,7.24
2026-07-17T10:00:11.400000+00:00,0.986,1.000,-0.0085,0.000,6.51,9.61
2026-07-17T10:00:11.500000+00:00,0.967,1.000,-0.0251,0.000,8.94,7.33
2026-07-17T10:00:11.600000+00:00,1.028,1.000,-0.0166,0.000,8.82,6.96
2026-07-17T10:00:11.700000+00:00,1.033,1.000,-0.0203,0.000,4.20,11.54
2026-07-17T10:00:11.800000+00:00,1.045,1.000,-0.0170,0.000,6.40,9.24
2026-07-17T10:00:11.900000+00:00,1.006,1.000,0.0380,0.000,8.11,7.84
2026-07-17T10:00:12+00:00,1.025,1.000,-0.0211,0.000,8.63,7.17
2026-07-17T10:00:12.100000+00:00,0.990,1.000,-0.0240,0.000,8.92,7.16
2026-07-17T10:00:12.200000+00:00,1.004,1.000,0.0306,0.000,7.20,8.77
2026-07-17T10:00:12.300000+00:00,0.973,1.000,0.0402,0.000,7.29,8.92
2026-07-17T10:00:12.400000+00:00,1.017,1.000,0.0047,0.000,6.51,9.35
2026-07-17T10:00:12.500000+00:00,1.023,1.000,-0.0168,0.000,10.00,5.82
2026-07-17T10:00:12.600000+00:00,0.984,1.000,-0.0064,0.000,9.09,7.03
2026-07-17T10:00:12.700000+00:00,1.017,1.000,0.0353,0.000,8.91,6.95
2026-07-17T10:00:12.800000+00:00,1.009,1.000,0.0207,0.000,8.16,7.77
2026-07-17T10:00:12.900000+00:00,0.989,1.000,-0.0247,0.000,9.68,6.41
2026-07-17T10:00:13+00:00,0.960,1.000,-0.0040,0.000,9.89,6.43
2026-07-17T10:00:13.100000+00:00,1.043,1.000,0.0374,0.000,9.01,6.65
2026-07-17T10:00:13.200000+00:00,1.016,1.000,0.0203,0.000,7.00,8.87
2026-07-17T10:00:13.300000+00:00,1.061,1.000,-0.0535,0.000,8.60,6.91
2026-07-17T10:00:13.400000+00:00,1.014,1.000,0.0196,0.000,8.64,7.25
2026-07-17T10:00:13.500000+00:00,1.031,1.000,0.0334,0.000,8.00,7.76
2026-07-17T10:00:13.600000+00:00,1.031,1.000,-0.0276,0.000,6.28,9.47
2026-07-17T10:00:13.700000+00:00,0.982,1.000,0.0023,0.000,8.65,7.49
2026-07-17T10:00:13.800000+00:00,0.947,1.000,0.0143,0.000,6.32,10.11
2026-07-17T10:00:13.900000+00:00,0.988,1.000,-0.0208,0.000,7.52,8.58
2026-07-17T10:00:14+00:00,0.999,1.000,0.0276,0.000,7.14,8.86
2026-07-17T10:00:14.100000+00:00,1.035,1.000,0.0260,0.000,9.40,6.32
2026-07-17T10:00:14.200000+00:00,1.026,1.000,-0.0103,0.000,8.89,6.90
2026-07-17T10:00:14.300000+00:00,0.998,1.000,-0.0031,0.000,10.09,5.93
2026-07-17T10:00:14.400000+00:00,1.000,1.000,-0.0597,0.000,8.25,7.74
2026-07-17T10:00:14.500000+00:00,1.024,1.000,-0.0410,0.000,7.65,8.16
2026-07-17T10:00:14.600000+00:00,1.026,1.000,0.0276,0.000,6.23,9.56
2026-07-17T10:00:14.700000+00:00,0.999,1.000,-0.0317,0.000,7.65,8.36
2026-07-17T10:00:14.800000+00:00,1.025,1.000,0.0101,0.000,10.02,5.78
2026-07-17T10:00:14.900000+00:00,1.032,1.000,0.0347,0.000,8.72,7.02
2026-07-17T10:00:15+00:00,1.002,1.000,0.0424,0.000,8.10,7.88
2026-07-17T10:00:15.100000+00:00,1.050,1.000,0.0046,0.000,7.47,8.12
2026-07-17T10:00:15.200000+00:00,1.005,1.000,-0.0002,0.000,8.31,7.65
2026-07-17T10:00:15.300000+00:00,1.001,1.000,-0.0052,0.000,8.80,7.19
2026-07-17T10:00:15.400000+00:00,0.999,1.000,0.0143,0.000,7.95,8.06
2026-07-17T10:00:15.500000+00:00,1.015,1.000,0.0378,0.000,8.33,7.55
2026-07-17T10:00:15.600000+00:00,0.972,1.000,-0.0082,0.000,7.79,8.43
2026-07-17T10:00:15.700000+00:00,0.964,1.000,0.0295,0.000,10.18,6.12
2026-07-17T10:00:15.800000+00:00,1.008,1.000,0.0205,0.000,6.19,9.74
2026-07-17T10:00:15.900000+00:00,1.038,1.000,0.0021,0.000,7.38,8.32
2026-07-17T10:00:16+00:00,0.974,1.000,-0.0098,0.000,7.52,8.68
2026-07-17T10:00:16.100000+00:00,1.017,1.000,-0.0006,0.000,9.33,6.53
2026-07-17T10:00:16.200000+00:00,1.052,1.000,0.0256,0.000,5.12,10.46
2026-07-17T10:00:16.300000+00:00,1.032,1.000,-0.0124,0.000,7.61,8.13
2026-07-17T10:00:16.400000+00:00,1.006,1.000,0.0207,0.000,8.53,7.41
2026-07-17T10:00:16.500000+00:00,1.015,1.000,-0.0112,0.000,9.50,6.37
2026-07-17T10:00:16.600000+00:00,0.935,1.000,-0.0111,0.000,8.71,7.81
2026-07-17T10:00:16.700000+00:00,0.976,1.000,-0.0208,0.000,9.61,6.57
2026-07-17T10:00:16.800000+00:00,0.993,1.000,0.0201,0.000,8.87,7.18
2026-07-17T10:00:16.900000+00:00,0.970,1.000,0.0078,0.000,8.14,8.10
2026-07-17T10:00:17+00:00,0.992,1.000,-0.0186,0.000,7.16,8.91
2026-07-17T10:00:17.100000+00:00,0.976,1.000,0.0303,0.000,8.45,7.75
2026-07-17T10:00:17.200000+00:00,1.007,1.000,0.0181,0.000,5.85,10.09
